col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80
1,1,449,449,30,0,1,0,1,10,0,0,0,16,2,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,1,0,0,1
1,3,859,859,17,0,1,9,1,0,1,0,0,46,3,5,0,1,0,0,2,2,1,1,0,0,10,1,1,0,0,50,3,3,30,1,50,3,3,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,2,4,4,1,0,3,4,3,4,2,1,0,1,0,0,15,2
0,1,133,133,20,0,1,2,1,0,0,0,0,5,1,7,0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,1,0,0,1
0,1,170,170,24,0,1,0,1,0,0,0,0,6,1,7,0,0,0,1,0,2,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,3,180,180,10,0,1,0,1,0,0,0,0,17,2,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,1
0,2,266,266,7,0,1,0,1,0,0,0,0,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,1
0,1,87,87,38,0,1,0,1,0,0,0,0,9,2,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,3,381,381,11,0,1,5,1,0,1,0,0,30,2,5,0,1,0,1,0,1,1,1,0,1,10,0,0,0,0,50,3,3,0,0,70,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,1,1,1,1,1,1,1,0,0,0,6,0,1,0,3,0,4,0,2,1,0,0,0,1,4,1
0,3,477,477,28,0,1,15,1,15,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,3,1,0,0,0,2,0,1,0,0,0,1,17,1,1,1,1,1,1,6,4,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,12,2
0,1,319,319,82,0,1,0,1,0,0,0,0,24,2,5,0,1,0,1,0,0,0,1,0,1,10,0,0,0,0,30,3,3,0,0,50,3,3,30,1,0,0,0,0,0,0,0,0,0,1,1,1,16,1,1,1,1,1,1,0,0,0,0,0,5,0,0,0,3,0,3,0,0,0,0,0,1,0,0,1
1,2,140,140,21,0,1,0,1,0,0,0,0,8,1,3,0,0,0,1,0,0,0,0,0,1,30,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
0,3,285,285,4,0,1,0,1,0,0,0,0,12,2,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,50,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,6,5,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1
1,3,1410,1410,14,780,1,0,1,0,2,0,0,78,4,3,0,1,1,1,0,0,1,1,1,1,30,0,0,0,0,30,0,0,0,0,50,3,3,90,1,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,4,4,0,0,0,0,6,3,1,3,7,3,7,3,1,0,0,1,1,4,1
0,3,829,829,9,0,1,0,1,0,2,1,0,19,2,7,0,1,0,1,2,2,1,1,0,1,10,1,1,0,0,10,1,1,0,0,70,1,1,0,0,4,1,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,3,0,3,0,3,1,1,0,0,1,6,1
0,3,699,699,11,0,1,0,1,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,3,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,0,0,0,1,1,3,7,1,0,1,0,0,1,6,1
0,3,253,253,20,0,1,18,1,0,0,0,0,20,2,5,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,30,3,3,0,0,70,3,3,70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,5,5,0,0,2,2,3,4,3,1,0,1,0,0,3,1
0,1,192,192,18,0,1,6,1,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1
0,1,106,106,49,0,1,0,1,0,0,0,0,12,2,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,3,792,792,13,0,1,0,1,0,0,0,1,19,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,0,0,0,0,3,1,0,0,0,2,1,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,0,0,0,0,0,3,7,2,1,1,0,0,1,29,2
1,2,629,629,7,0,1,4,1,0,2,0,0,68,4,3,0,1,1,0,0,1,1,1,1,0,10,0,0,0,0,30,3,3,30,1,90,3,3,70,1,4,1,0,0,0,0,0,0,0,0,0,1,5,1,1,1,1,1,1,1,1,0,0,0,4,0,0,1,3,0,3,0,0,0,0,0,0,0,3,1
0,3,970,970,7,0,1,0,1,0,0,0,0,9,2,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,5,4,0,0,0,0,5,0,0,1,1,2,3,1,0,1,0,0,1,5,1
0,1,299,299,17,0,1,2,1,0,0,0,0,22,2,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,70,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,1,1,1,1,1,1,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,1,0,0,1
0,1,330,330,28,0,1,0,1,0,0,0,0,13,2,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,1
1,3,1970,1970,17,0,1,0,1,0,0,0,0,6,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,3,3,0,0,30,3,3,0,0,3,1,1,1,2,2,1,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,5,5,0,0,2,3,3,7,0,0,0,0,0,0,15,1
0,3,909,909,12,750,1,1,1,0,2,1,0,40,3,3,0,0,0,0,1,2,1,0,0,0,10,0,0,0,0,50,3,3,0,0,70,3,3,50,1,4,1,2,1,0,0,0,0,0,0,0,1,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,3,0,4,8,3,1,1,0,0,1,4,1
0,1,129,129,121,0,1,2,1,0,1,0,0,32,3,5,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,1,0,0,1
0,1,202,202,64,0,1,0,1,1,2,1,0,53,3,3,1,1,1,0,2,2,1,1,1,0,10,1,1,0,0,70,3,3,0,0,150,3,3,90,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,1
1,3,319,319,7,0,1,0,1,0,1,0,0,23,2,3,0,0,0,1,0,0,1,0,0,1,10,0,0,0,0,30,0,0,0,0,50,3,3,70,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,0,0,0,0,0,4,1,0,3,0,2,2,3,1,1,1,1,1,2,1
0,3,120,120,33,470,1,0,1,0,0,0,0,11,2,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,5,1,0,0,0,0,6,0,0,0,0,0,0,3,0,0,1,1,0,4,1
0,2,317,317,12,0,1,0,1,2,0,0,0,22,2,5,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,30,0,0,0,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,3,0,0,0,0,3,0,0,3,7,3,7,0,0,0,0,1,0,2,1
0,1,198,198,39,0,1,0,1,0,0,0,0,18,2,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,1,0,0,1
1,3,769,769,14,0,1,0,1,8,0,0,0,4,1,7,0,0,0,1,0,0,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,1,1,0,0,4,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,5,5,0,0,0,0,3,0,0,1,1,2,3,3,1,0,0,1,0,9,1
0,3,339,339,11,0,1,0,1,0,0,0,0,13,1,11,0,0,0,1,0,0,1,0,0,1,10,0,0,0,0,10,0,0,0,0,70,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,4,0,0,0,0,2,2,3,1,1,0,1,1,2,1
1,3,319,319,14,0,1,12,1,0,0,0,0,25,2,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,30,0,0,0,0,70,0,0,70,1,4,0,0,0,0,0,0,0,0,0,0,1,20,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,3,6,3,4,2,1,0,0,1,1,6,1
0,2,639,639,19,0,1,0,1,0,2,1,0,77,4,5,1,1,1,1,2,2,1,1,1,1,10,1,1,0,0,50,3,3,0,0,150,3,3,90,1,0,0,0,0,0,0,0,0,0,1,0,1,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,2,1
1,3,889,889,9,0,1,0,1,0,1,1,0,23,2,3,0,1,0,0,1,0,1,1,0,0,10,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,1,1,1,1,3,2,1,0,0,0,0,1,1,2,3,3,7,1,0,1,1,0,1,4,1
1,2,327,327,3,0,1,0,1,0,0,0,0,8,2,3,0,0,0,0,0,1,1,0,0,0,10,0,0,0,0,10,1,1,0,0,30,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,9,1,1,1,1,1,1,5,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
1,2,334,334,5,0,1,0,1,0,0,0,0,4,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,3,3,0,0,3,1,0,0,0,1,1,1,1,0,0,1,16,1,1,1,1,1,1,6,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,1
0,1,209,209,26,0,1,0,1,0,0,0,0,2,1,7,0,0,0,1,0,2,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,3,500,500,12,0,1,0,1,0,0,0,0,8,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,4,4,0,0,0,0,0,0,0,3,7,3,7,0,0,1,0,1,1,6,1
0,1,289,289,40,0,1,0,1,0,0,0,0,10,1,11,0,0,0,1,0,0,1,0,0,1,10,0,0,0,0,30,3,3,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,6,6,0,0,0,0,1,1,0,0,0,0,1,0,0,1
0,1,265,265,14,0,1,0,1,10,0,0,0,5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,5,5,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,1,0,0,1
0,3,197,197,28,0,1,6,1,0,0,0,0,19,2,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,3,3,0,0,30,3,3,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,4,1,0,0,0,5,5,0,0,2,3,2,3,3,1,0,0,0,0,15,2
1,3,469,469,11,0,1,0,1,0,0,0,0,20,2,7,0,1,0,1,0,0,1,1,0,1,10,0,0,0,0,30,3,3,0,0,90,3,3,70,1,2,0,0,0,0,0,0,0,0,0,0,1,17,1,1,1,1,1,1,2,2,0,0,0,5,4,0,1,2,3,2,3,3,1,1,0,0,0,5,1
0,2,126,126,18,0,1,0,1,0,0,0,0,10,2,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
0,1,330,330,99,0,1,0,1,0,0,0,0,26,2,7,0,1,0,1,0,2,1,1,0,1,10,0,0,0,0,30,0,0,0,0,50,3,3,30,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,1
0,3,1629,1629,15,0,1,4,1,0,2,0,0,29,2,11,1,1,0,0,2,2,1,1,0,0,10,1,1,0,0,10,1,1,0,0,110,3,3,70,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,1,1,2,1,0,0,1,1,0,3,0,3,4,4,0,0,0,0,0,0,0,13,2
0,3,239,239,16,0,1,0,1,0,0,0,0,5,1,5,0,0,0,1,0,2,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,3,0,3,0,3,1,0,0,1,1,8,2
0,3,228,228,9,0,1,0,1,0,1,0,1,13,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,4,1,0,0,0,2,1,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0,0,1,10,1
1,3,239,239,21,0,1,6,1,0,2,0,0,7,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3,0,3,0,3,1,0,0,0,1,6,2
0,1,120,120,2,0,1,3,1,3,0,0,0,8,2,7,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,70,3,3,0,0,4,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,1,0,0,1
0,3,315,315,20,0,1,0,1,0,0,0,0,3,1,11,0,0,0,1,0,0,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,4,2,0,0,0,0,0,0,0,2,3,2,3,3,1,0,1,0,0,5,1
1,3,479,479,12,0,1,6,1,0,2,0,0,32,2,5,0,1,0,0,2,2,1,1,0,0,10,0,0,0,0,10,0,0,0,0,110,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0,3,0,4,0,1,0,1,1,1,1,2,1
0,1,360,360,41,0,1,2,1,0,0,0,0,20,2,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,1,1,1,1,1,1,1,0,0,0,0,5,0,0,3,4,3,4,0,0,0,0,1,0,0,1
0,3,469,469,17,0,1,0,1,0,2,1,0,25,2,3,0,0,0,0,1,1,0,0,0,0,10,1,1,0,0,30,3,3,0,0,70,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,1,1,1,1,1,0,0,2,4,4,2,0,3,4,4,0,1,0,0,0,0,1,7,1
0,1,459,459,23,0,1,0,1,0,1,0,0,70,4,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,30,0,0,0,0,70,3,3,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,1,0,0,1
1,3,249,249,14,0,1,0,1,0,0,0,0,3,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,2,0,0,0,0,5,0,0,0,0,1,1,3,1,0,0,1,1,3,1
0,3,1229,1229,16,0,1,6,1,0,0,0,0,41,3,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,70,3,3,90,1,3,1,1,1,2,2,0,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,6,0,0,1,1,3,7,0,0,0,0,0,0,17,2
1,2,378,378,7,0,1,0,1,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,3,1
1,3,1390,1390,12,0,1,0,1,0,0,0,0,15,2,9,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,10,0,0,0,0,70,3,3,30,1,4,1,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,5,0,0,3,7,3,7,0,0,1,1,0,1,7,1
1,3,235,235,13,0,1,3,1,0,2,0,0,27,2,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,0,0,0,3,0,3,4,3,4,2,1,0,0,0,0,8,2
0,3,344,344,8,0,1,0,1,0,1,1,0,31,2,3,0,0,0,1,2,2,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,1,1,0,0,4,1,1,2,3,2,3,3,1,1,0,0,0,9,2
0,1,117,117,13,0,1,0,1,0,0,0,0,15,2,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,3,428,428,5,0,1,0,1,0,2,0,0,87,4,3,0,1,1,1,0,0,1,1,1,1,10,0,0,0,0,30,0,0,0,0,90,3,3,30,1,0,0,0,0,0,0,0,0,0,1,0,1,9,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,3,0,4,0,3,1,1,1,0,0,8,2
0,3,730,730,11,0,1,0,1,0,1,1,0,11,1,3,0,0,0,1,2,2,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,3,3,30,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,5,5,1,1,0,0,5,1,0,2,3,2,3,0,0,1,0,1,0,6,1
0,1,270,270,89,0,1,0,1,0,1,0,0,24,1,5,0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,1
0,1,147,147,18,0,1,0,1,0,0,0,0,18,2,3,0,1,0,1,0,2,1,1,0,1,10,0,0,0,0,30,1,1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,1,1,1,1,1,0,0,0,0,0,2,0,0,0,3,0,3,4,0,0,0,0,1,0,0,1
0,3,154,154,11,0,1,15,1,0,0,0,0,13,1,3,0,0,0,1,0,0,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,1,9,2
0,3,1529,1529,16,0,1,0,1,0,2,0,1,8,2,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,3,0,0,3,1,0,0,0,2,1,1,1,0,0,1,0,1,1,1,1,1,1,6,6,0,0,0,0,5,3,0,3,7,0,0,0,0,0,1,0,0,13,1
0,3,839,839,17,0,1,0,1,0,1,0,0,34,2,3,0,1,0,1,0,0,1,1,0,1,10,0,0,0,0,50,3,3,0,0,50,3,3,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,5,4,0,0,0,5,5,1,1,3,7,3,7,2,1,0,1,0,1,6,1
0,1,319,319,7,0,1,20,1,0,0,0,0,9,1,7,0,0,0,1,0,2,1,0,0,1,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,13,1,1,1,1,1,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,3,173,173,19,0,1,5,1,0,0,0,0,4,1,3,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,1,0,0,0,0,5,0,0,0,0,3,0,2,1,0,1,1,0,9,2
0,3,470,470,20,0,1,0,1,0,0,0,0,14,2,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,5,4,0,0,0,0,6,0,0,3,7,3,7,3,1,0,1,0,0,5,1
