classe,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85
1,0,3,262,262,18,1,0,2,0,7,0,6,0,2,9,2,1,7,0,7,7,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,50,3,4,0,0,0,0,2,3,3,6,0,0,0,0,0,0,0,17,2,5,3,0,1,0,0,0,0,4,3,0,0,2,1,0,0,1,1,2,1,30,3,0,0,0,0,0,0,0
1,0,3,678,678,11,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,3,4,0,0,1,1,3,7,3,7,0,0,0,0,0,0,0,16,2,3,4,1,0,0,0,1,0,6,63,1,1,1,0,1,1,0,0,7,1,10,0,0,0,0,0,0,0,0
1,0,3,217,217,10,1,0,2,0,7,0,6,0,5,0,5,5,7,0,7,7,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,50,0,0,30,0,0,0,3,6,3,4,0,0,0,0,0,0,0,15,2,11,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,0,1,3,1,30,3,0,0,0,1,0,0,1
1,1,3,540,540,8,1,0,2,0,7,0,6,0,1,0,1,1,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,0,0,15,2,5,3,1,0,0,0,1,0,4,7,0,0,3,1,1,0,1,1,3,1,10,0,0,0,0,1,0,1,0
0,0,3,699,699,11,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,1,1,3,7,0,0,0,0,0,0,0,8,1,3,3,1,0,0,0,1,0,6,63,1,1,1,0,1,0,0,1,6,1,30,0,0,0,0,0,0,0,0
0,0,3,339,339,11,1,0,1,0,4,6,2,3,2,8,1,1,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,70,4,5,0,0,0,0,3,4,3,4,1,0,0,0,0,0,0,18,1,7,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,6,1,70,3,0,0,0,0,0,0,0
1,0,3,1260,1260,12,1,0,0,1,0,0,0,1,1,0,1,1,1,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,11,2,1,3,1,0,0,0,2,1,6,63,1,1,0,0,1,1,0,1,4,1,50,3,0,0,2,0,1,0,1
0,0,2,344,344,14,1,0,2,0,1,20,1,2,0,0,0,0,7,0,7,7,0,0,0,0,1,10,0,0,0,0,50,3,4,30,1,70,3,4,70,2,0,0,3,0,3,4,0,0,0,0,1,1,1,46,3,5,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,50,3,0,0,0,0,0,0,0
0,1,2,268,268,7,1,0,1,0,4,15,3,4,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,2,3,3,7,0,0,0,0,0,0,0,12,2,3,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,1,30,3,0,0,0,0,0,1,1
1,1,1,211,211,21,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,4,6,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,1,1
0,0,3,480,480,10,1,0,0,0,4,2,2,3,5,0,5,5,6,2,5,5,0,0,2,1,1,30,0,0,0,0,50,0,0,50,2,70,0,0,70,2,0,0,3,4,4,8,1,0,1,1,1,1,1,115,6,3,4,1,2,0,0,1,0,1,1,0,0,2,1,1,1,0,1,4,1,50,3,30,1,0,0,0,0,0
1,1,3,489,489,9,1,0,2,0,4,8,2,3,2,0,1,1,7,0,7,7,0,0,2,0,1,10,0,0,0,0,30,3,4,0,0,70,3,4,70,2,0,0,3,4,3,4,1,0,0,0,1,1,1,42,3,5,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,1,1,6,1,30,0,0,0,0,0,0,1,1
0,0,3,210,210,16,1,0,2,0,6,19,5,6,1,0,1,1,4,0,3,3,0,0,2,0,1,10,0,0,0,0,70,3,0,0,0,70,3,0,70,2,1,1,3,0,4,8,1,0,1,1,1,1,0,113,5,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,8,2,50,3,0,0,2,0,0,0,0
0,0,1,198,198,25,1,0,2,0,4,3,2,3,2,3,1,1,5,0,5,5,1,0,2,0,1,10,1,1,0,0,10,1,1,0,0,70,4,5,70,2,0,0,1,1,4,0,0,0,1,0,1,0,0,21,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,70,3,0,0,0,0,0,0,0
0,0,1,101,101,19,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,0,1
1,1,3,727,727,5,1,1,1,0,4,5,2,3,1,0,1,1,1,0,1,1,1,1,2,0,1,10,0,0,0,0,30,4,5,0,0,70,4,5,0,0,2,3,3,6,4,8,0,1,1,1,1,1,1,39,3,3,4,1,0,0,0,0,0,3,1,0,0,3,1,1,0,1,1,3,1,70,3,30,1,2,0,0,1,1
1,0,3,710,710,6,1,0,2,0,6,10,5,5,4,20,4,4,7,0,7,7,0,0,0,0,1,10,0,0,0,0,30,0,0,0,0,50,0,0,50,1,0,0,2,3,2,3,1,0,0,0,0,0,0,14,1,15,4,1,0,0,0,1,0,4,7,0,0,3,1,1,0,1,1,5,1,10,0,0,0,0,0,0,0,0
0,1,1,578,578,15,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,1,3,3,0,0,0,0,0,0,4,7,0,0,0,0,0,0,1,0,0,1,10,0,0,0,1,0,0,1,1
1,1,3,599,599,14,1,1,0,0,3,0,2,3,1,0,1,1,1,0,1,1,1,1,2,0,1,70,3,4,0,0,70,3,4,50,1,70,3,4,70,2,2,2,3,4,4,0,1,0,1,1,1,1,1,242,9,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,8,2,70,3,70,1,2,0,0,1,1
1,0,3,250,250,30,1,1,0,0,3,0,2,3,0,0,0,0,1,0,1,1,1,1,2,1,1,10,0,0,0,0,10,0,0,0,0,50,3,4,0,0,0,0,1,1,2,2,0,0,0,0,1,0,1,19,2,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,1,0,4,1,50,3,50,1,2,0,0,0,0
0,1,1,219,219,121,1,1,0,0,3,0,2,3,1,0,1,1,1,0,1,1,1,0,2,0,1,70,3,4,0,0,70,3,4,30,1,70,3,4,70,2,2,2,3,4,4,0,1,0,1,0,1,1,0,223,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,70,3,70,1,2,0,0,1,1
0,0,3,1287,1287,13,1,0,1,0,3,0,2,3,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,3,4,1,0,0,0,1,0,6,63,1,1,0,0,0,0,1,0,16,2,10,0,0,0,0,0,0,0,1
1,0,3,909,909,14,1,0,2,0,4,11,2,3,2,4,1,1,7,0,7,7,2,0,2,0,1,10,2,2,0,0,50,3,4,30,2,70,4,0,70,2,0,0,3,0,4,8,0,0,1,1,1,1,1,47,3,5,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,3,1,70,3,0,0,2,0,1,0,0
0,1,3,1140,1140,17,1,0,0,0,3,0,2,3,1,0,1,1,1,0,1,1,0,0,2,0,1,10,0,0,0,0,10,0,0,0,0,70,4,0,30,2,2,3,3,0,4,8,1,0,0,0,1,0,0,24,2,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,9,1,50,3,0,0,0,0,0,1,0
1,1,3,682,682,18,1,0,0,1,3,0,2,3,0,0,0,0,4,8,4,4,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,10,2,1,3,1,0,0,0,2,1,6,63,1,1,3,1,0,0,0,0,5,1,10,0,0,0,0,0,0,1,0
0,1,3,539,539,15,1,0,1,0,4,15,3,4,1,0,1,1,1,0,1,1,0,0,0,0,1,10,0,0,0,0,30,3,4,0,0,30,3,4,0,0,0,0,2,3,3,7,0,0,0,0,0,0,0,11,2,5,0,0,0,0,0,0,0,4,7,0,0,3,1,0,1,0,0,6,1,30,0,0,0,0,0,0,1,1
1,0,2,469,469,8,1,0,1,0,3,0,2,3,0,0,0,0,2,4,1,1,0,0,0,0,1,10,0,0,0,0,30,0,0,0,0,50,0,0,50,0,0,0,2,3,2,3,0,0,0,0,0,0,0,19,2,3,4,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,2,1,10,0,0,0,0,0,0,0,0
1,1,2,1089,1089,5,1,0,0,1,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,3,4,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,15,2,1,3,1,0,0,0,0,0,6,63,1,1,0,0,0,0,1,0,2,1,30,3,0,0,2,0,0,1,1
1,1,1,829,829,8,1,0,2,0,7,0,6,0,5,0,5,5,7,0,7,7,0,0,0,0,0,10,0,0,0,0,30,0,0,30,0,70,0,0,50,0,0,0,0,0,3,0,0,0,0,0,0,0,0,30,2,9,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,50,3,70,1,0,0,0,1,1
1,1,2,475,475,4,1,0,0,0,6,1,4,5,1,0,1,1,6,20,6,6,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,2,3,3,6,0,0,0,0,0,0,0,12,2,3,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,30,3,0,0,0,0,0,1,0
0,0,1,214,214,15,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,30,3,4,0,0,1,1,2,3,2,3,0,0,0,0,0,0,0,16,2,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,10,0,0,0,1,0,0,0,0
1,0,3,1118,1118,10,1,1,2,0,3,0,2,3,0,0,0,0,1,0,1,1,2,1,2,1,1,10,0,0,0,0,10,0,0,0,0,70,3,4,0,0,2,3,3,6,3,6,1,0,0,0,0,0,0,10,1,5,0,0,1,1,0,0,0,2,3,0,0,0,0,1,0,0,0,8,2,50,0,0,0,2,0,0,0,0
1,1,2,519,519,4,1,0,1,0,6,0,4,5,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,70,4,5,70,2,0,0,2,2,3,0,0,0,0,0,0,0,0,33,3,3,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,50,3,0,0,0,0,0,1,0
1,1,1,246,246,4,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,4,1,0,0,0,1,0,2,3,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,1,0
1,1,3,900,900,14,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,5,1,3,3,1,0,0,0,1,0,6,31,1,0,0,0,0,0,0,0,3,2,10,0,0,0,0,0,0,1,1
1,0,3,428,428,21,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,3,4,0,0,1,1,3,6,3,6,0,0,0,0,1,0,1,16,2,3,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,1,4,1,10,0,0,0,0,0,0,0,0
0,1,3,1100,1100,4,1,1,1,0,1,5,0,1,1,0,1,1,4,14,4,3,2,1,1,0,1,10,0,0,0,0,30,4,5,0,0,70,4,0,50,2,1,1,2,2,4,0,0,0,1,0,1,1,0,66,4,3,4,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,4,1,70,3,0,0,0,0,0,1,0
0,1,2,370,370,2,1,0,2,0,5,0,4,5,2,0,1,1,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,70,3,4,0,0,0,0,2,3,2,3,0,0,0,0,0,0,0,15,2,5,4,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,2,1,30,3,30,1,0,1,0,1,1
1,0,3,1000,1000,7,1,1,0,0,3,0,2,3,0,0,0,0,1,0,1,1,2,1,2,1,1,10,0,0,0,0,10,0,0,0,0,50,0,0,0,0,2,3,3,7,4,15,0,0,0,0,0,0,1,15,2,3,3,1,0,0,0,1,0,5,15,0,0,3,1,1,0,0,1,4,1,30,0,0,0,2,0,0,0,1
1,1,1,489,489,13,1,0,2,0,4,8,2,3,0,0,0,0,7,0,7,7,0,0,0,0,1,10,0,0,0,0,30,4,0,0,0,70,4,0,30,2,0,0,3,4,3,4,0,0,0,0,1,1,1,36,3,5,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,10,1,0,0,2,0,0,1,1
0,0,1,370,370,29,1,1,0,0,3,0,2,3,0,0,0,0,1,0,1,1,1,1,0,0,1,10,0,0,0,0,10,0,0,0,0,50,4,5,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,10,1,0,0,2,0,0,0,0
1,0,3,1333,1333,8,1,0,0,1,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,30,3,4,30,2,2,3,3,7,0,0,0,0,0,0,0,0,0,11,2,1,4,1,0,0,0,0,0,6,31,1,0,3,1,1,1,0,1,5,1,10,0,0,0,2,0,0,0,0
1,1,3,689,689,21,1,0,2,0,6,1,4,5,1,0,1,1,6,2,5,5,2,1,2,0,1,10,0,0,0,0,50,4,5,0,0,70,4,0,70,2,1,1,3,6,4,0,0,1,1,0,1,1,0,43,3,7,4,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,6,1,70,3,0,0,0,0,0,1,1
1,1,1,105,105,126,1,0,2,0,6,4,4,5,1,0,1,1,6,3,5,5,2,0,2,0,1,10,1,0,0,0,70,4,0,0,0,70,4,0,70,2,1,1,3,0,4,0,0,0,1,0,1,1,0,77,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,70,0,0,0,0,0,0,1,1
1,0,3,302,302,8,1,0,2,0,7,0,6,0,2,7,1,1,6,12,5,5,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,70,0,0,0,0,0,0,2,2,3,4,0,0,0,0,0,0,0,21,2,5,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,1,7,1,70,3,0,0,0,0,0,0,1
1,1,3,190,190,19,1,0,0,0,5,0,4,5,4,0,3,3,7,0,7,7,0,0,0,0,1,10,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,0,5,7,0,0,3,1,0,1,1,0,5,1,30,3,0,0,0,0,0,1,1
1,0,3,158,158,17,1,0,0,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,50,3,4,0,0,1,1,3,6,2,2,1,0,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,1,4,1,10,0,0,0,0,0,0,0,0
1,0,3,237,237,8,1,0,0,0,3,0,2,3,1,0,1,1,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,4,5,70,2,0,0,2,3,2,3,0,0,0,0,1,0,1,17,2,3,0,0,0,0,0,0,0,2,3,0,0,2,1,1,0,0,1,6,1,10,0,0,0,0,0,0,0,0
1,0,3,670,670,15,1,0,2,0,6,4,4,5,1,0,1,1,2,2,1,1,2,1,2,1,1,10,0,0,0,0,30,4,5,0,0,70,4,5,70,2,0,0,3,6,4,8,0,1,1,1,1,1,1,51,3,9,4,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,5,1,50,0,50,1,0,0,0,0,1
1,1,1,265,265,9,1,0,2,0,3,0,2,3,2,9,2,2,4,14,4,4,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,2,3,2,3,0,0,0,0,0,0,0,8,2,7,3,1,0,0,0,0,0,4,15,0,0,0,0,0,0,1,0,0,1,30,3,0,0,0,0,0,1,1
1,1,2,131,131,17,1,0,0,0,3,0,2,3,1,0,1,1,6,10,5,5,2,0,2,0,1,10,0,0,0,0,50,0,0,0,0,70,2,2,70,2,0,0,3,4,3,0,1,0,0,0,1,1,1,42,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,70,3,30,1,0,0,0,1,1
0,1,3,519,519,10,1,0,2,0,7,0,6,0,0,0,0,0,5,0,5,5,0,0,0,0,1,10,0,0,0,0,30,0,0,0,0,50,0,0,30,1,0,0,1,1,1,1,0,0,0,0,0,0,0,13,2,7,4,1,0,0,0,0,0,5,15,0,0,3,1,1,0,0,1,5,1,10,0,0,0,0,0,0,1,1
1,1,3,390,390,12,1,0,1,0,3,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,70,4,6,70,2,0,0,1,1,4,15,0,0,0,0,0,0,1,25,2,3,3,1,0,0,0,1,0,5,15,0,0,0,0,0,1,0,1,15,2,50,3,50,1,1,0,0,1,1
1,1,3,670,670,14,1,0,2,0,7,0,6,0,0,0,0,0,7,0,7,7,0,0,2,1,1,10,0,0,0,0,30,0,0,0,0,50,0,0,70,2,0,0,1,1,3,7,0,0,0,0,0,0,0,42,3,5,1,0,1,0,0,0,0,4,7,0,0,0,0,1,1,0,1,3,1,50,3,0,0,0,0,0,1,1
1,1,2,552,552,9,1,0,2,0,4,3,2,3,1,0,1,1,6,9,5,5,0,0,0,0,0,10,0,0,0,0,50,4,0,0,0,70,4,0,70,2,2,3,3,4,3,4,0,0,0,0,1,0,1,39,3,5,3,1,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,2,1,50,3,0,0,0,1,0,1,1
0,1,3,639,639,10,1,0,0,0,6,1,4,5,1,0,1,1,4,3,3,3,0,0,2,1,1,10,0,0,0,0,50,4,5,30,1,70,4,0,70,2,2,0,3,0,4,8,0,0,1,1,1,1,1,94,5,3,4,1,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,10,2,50,3,50,1,0,0,0,1,1
0,0,3,373,373,18,1,1,0,0,3,0,2,3,0,0,0,0,1,0,1,1,1,1,2,1,1,10,0,0,0,0,10,0,0,0,0,30,4,6,30,2,2,3,3,6,4,8,0,0,0,0,0,0,1,22,2,3,0,0,0,0,0,0,0,4,3,0,0,3,1,0,0,1,1,4,1,30,0,30,0,2,0,0,0,0
1,1,1,207,207,14,1,0,2,0,5,0,4,5,1,0,1,1,4,14,3,3,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,50,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,0,0,0,1,1
0,1,3,395,395,13,1,1,0,0,3,0,2,3,0,0,0,0,1,0,1,1,1,1,2,1,1,10,0,0,0,0,10,0,0,0,0,70,3,4,70,2,2,3,3,6,4,8,0,0,0,0,0,0,1,16,2,3,3,1,0,0,0,0,0,3,3,0,0,2,1,0,0,1,1,4,1,30,0,0,0,2,0,0,1,1
0,0,3,579,579,11,1,0,2,0,6,5,4,5,0,0,0,0,4,3,3,3,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,0,0,1,1,3,7,1,0,0,0,0,0,0,9,1,5,4,1,0,0,0,1,0,4,15,0,0,0,0,1,1,0,1,18,2,50,3,0,0,0,0,0,0,1
1,0,3,819,819,13,1,0,0,1,3,0,2,3,0,0,0,0,2,0,2,1,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,1,1,2,3,3,7,0,0,0,0,0,0,0,20,2,1,3,1,0,0,0,0,0,6,31,1,0,3,1,1,0,0,0,20,2,30,0,0,0,0,0,0,0,0
0,0,3,380,380,24,1,0,0,0,3,0,2,3,1,0,1,1,1,0,1,1,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,3,4,0,0,0,0,1,1,3,6,0,0,0,0,0,0,0,18,2,3,0,0,0,0,0,0,0,2,1,0,0,3,1,0,1,0,1,3,1,30,3,0,0,0,0,0,0,0
1,1,3,1029,1029,13,1,0,2,0,4,10,3,4,1,0,1,1,2,10,2,2,0,0,2,1,1,10,0,0,0,0,30,0,0,30,2,50,4,6,30,2,0,0,3,7,4,15,1,0,0,0,1,0,1,22,2,5,3,1,1,1,0,0,0,5,31,0,0,1,0,0,0,0,1,6,1,50,3,30,1,0,0,0,1,1
1,1,3,190,190,14,1,0,2,0,4,1,2,3,2,1,1,1,5,0,5,5,0,0,2,0,1,10,0,0,0,0,10,1,1,0,0,70,4,5,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,9,1,5,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,7,2,50,0,0,0,0,0,0,1,1
0,0,3,580,580,19,1,1,1,0,4,5,2,3,0,0,0,0,2,2,1,1,1,1,1,0,1,10,0,0,0,0,30,3,4,0,0,50,4,0,0,0,2,3,3,6,4,8,1,0,1,1,1,0,1,20,2,3,4,0,1,0,0,0,0,3,3,0,0,2,1,0,1,0,0,8,1,70,3,0,0,0,0,0,0,0
0,1,3,798,798,11,1,1,1,0,3,0,2,3,0,0,0,0,1,0,1,1,2,1,2,1,1,10,0,0,0,0,10,0,0,0,0,30,0,0,0,0,2,3,3,7,3,7,1,0,0,0,0,0,0,7,1,3,3,1,0,0,0,0,0,4,7,0,0,0,0,1,1,0,1,7,1,30,0,50,1,2,0,0,1,0
1,0,3,1184,1184,20,1,0,2,0,2,0,2,3,4,3,4,3,7,0,7,7,0,0,0,0,1,10,0,0,0,0,10,0,0,0,0,50,0,0,0,0,0,0,3,7,3,7,0,0,0,0,1,0,1,14,2,7,4,1,0,0,0,1,0,5,15,0,0,3,1,0,0,0,0,27,2,30,0,0,0,0,0,0,0,0
0,0,3,285,285,10,1,0,2,0,5,0,4,5,1,0,1,1,4,7,4,4,0,0,0,0,0,10,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,9,0,0,0,0,0,0,0,5,15,0,0,3,1,1,0,1,1,5,1,30,3,0,0,0,0,0,0,0
